81	e0	e306	C
81	e80	e223	C
81	e80	e226	C
81	e80	e230	C
81	e80	e233	C
81	e80	e236	C
81	e80	e244	C
81	e80	e268	C
81	e80	e314	C
81	e81	e96	C
81	e81	e97	C
81	e81	e116	C
81	e81	e132	C
81	e81	e133	C
81	e81	e142	C
81	e81	e192	C
81	e81	e202	C
81	e81	e204	C
81	e81	e210	C
81	e81	e234	C
81	e81	e237	C
81	e81	e246	C
81	e81	e283	C
81	e81	e312	C
81	e82	e118	C
81	e82	e321	C
81	e83	e119	C
81	e83	e136	C
81	e83	e232	C
81	e83	e249	C
81	e84	e95	C
81	e84	e99	C
81	e84	e113	C
81	e84	e115	C
81	e84	e120	C
81	e84	e131	C
81	e84	e137	C
81	e84	e141	C
81	e84	e150	C
81	e84	e153	C
81	e84	e163	C
81	e84	e185	C
81	e84	e186	C
81	e84	e191	C
81	e84	e193	C
81	e84	e209	C
81	e84	e212	C
81	e84	e213	C
81	e84	e215	C
81	e84	e217	C
81	e84	e223	C
81	e84	e226	C
81	e84	e230	C
81	e84	e233	C
81	e84	e236	C
81	e84	e244	C
81	e84	e268	C
81	e84	e314	C
81	e85	e98	C
81	e85	e121	C
81	e85	e151	C
81	e85	e168	C
81	e85	e173	C
81	e85	e175	C
81	e85	e179	C
81	e85	e183	C
81	e86	e110	C
81	e86	e112	C
81	e86	e122	C
81	e86	e144	C
81	e86	e152	C
81	e86	e162	C
81	e86	e184	C
81	e86	e190	C
81	e86	e199	C
81	e86	e222	C
81	e86	e235	C
81	e86	e243	C
81	e86	e275	C
81	e87	e108	C
81	e87	e111	C
81	e87	e123	C
81	e87	e196	C
81	e87	e197	C
81	e87	e200	C
81	e87	e256	C
81	e88	e105	C
81	e88	e124	C
81	e88	e149	C
81	e89	e125	C
81	e90	e126	C
81	e90	e146	C
81	e90	e182	C
81	e90	e336	C
81	e91	e127	C
81	e91	e148	C
81	e91	e259	C
81	e92	e128	C
81	e92	e147	C
81	e93	e129	C
81	e93	e166	C
81	e93	e171	C
81	e94	e130	C
81	e94	e267	C
81	e95	e99	C
81	e95	e113	C
81	e95	e115	C
81	e95	e120	C
81	e95	e131	C
81	e95	e137	C
81	e95	e141	C
81	e95	e150	C
81	e95	e153	C
81	e95	e163	C
81	e95	e185	C
81	e95	e186	C
81	e95	e191	C
81	e95	e193	C
81	e95	e209	C
81	e95	e212	C
81	e95	e213	C
81	e95	e215	C
81	e95	e217	C
81	e95	e223	C
81	e95	e226	C
81	e95	e230	C
81	e95	e233	C
81	e95	e236	C
81	e95	e244	C
81	e95	e268	C
81	e95	e314	C
81	e96	e97	C
81	e96	e116	C
81	e96	e132	C
81	e96	e133	C
81	e96	e142	C
81	e96	e192	C
81	e96	e202	C
81	e96	e204	C
81	e96	e210	C
81	e96	e234	C
81	e96	e237	C
81	e96	e246	C
81	e96	e283	C
81	e96	e312	C
81	e97	e116	C
81	e97	e132	C
81	e97	e133	C
81	e97	e142	C
81	e97	e192	C
81	e97	e202	C
81	e97	e204	C
81	e97	e210	C
81	e97	e234	C
81	e97	e237	C
81	e97	e246	C
81	e97	e283	C
81	e97	e312	C
81	e98	e121	C
81	e98	e168	C
81	e98	e173	C
81	e99	e113	C
81	e99	e115	C
81	e99	e120	C
81	e99	e131	C
81	e99	e137	C
81	e99	e141	C
81	e99	e150	C
81	e99	e153	C
81	e99	e163	C
81	e99	e185	C
81	e99	e186	C
81	e99	e191	C
81	e99	e193	C
81	e99	e209	C
81	e99	e212	C
81	e99	e213	C
81	e99	e215	C
81	e99	e217	C
81	e99	e223	C
81	e99	e226	C
81	e99	e230	C
81	e99	e233	C
81	e99	e236	C
81	e99	e244	C
81	e99	e268	C
81	e99	e314	C
81	e100	e102	C
81	e100	e177	C
81	e100	e181	C
81	e102	e177	C
81	e102	e181	C
81	e104	e106	C
81	e104	e189	C
81	e105	e124	C
81	e105	e149	C
81	e106	e189	C
81	e107	e257	C
81	e108	e111	C
81	e108	e123	C
81	e108	e196	C
81	e108	e197	C
81	e108	e200	C
81	e108	e256	C
81	e110	e112	C
81	e110	e122	C
81	e110	e144	C
81	e110	e152	C
81	e110	e162	C
81	e110	e184	C
81	e110	e190	C
81	e110	e199	C
81	e110	e222	C
81	e110	e235	C
81	e110	e243	C
81	e110	e275	C
81	e111	e123	C
81	e111	e196	C
81	e111	e197	C
81	e111	e200	C
81	e111	e256	C
81	e112	e122	C
81	e112	e144	C
81	e112	e152	C
81	e112	e162	C
81	e112	e184	C
81	e112	e190	C
81	e112	e199	C
81	e112	e222	C
81	e112	e235	C
81	e112	e243	C
81	e112	e275	C
81	e113	e115	C
81	e113	e120	C
81	e113	e131	C
81	e113	e137	C
81	e113	e141	C
81	e113	e150	C
81	e113	e153	C
81	e113	e163	C
81	e113	e185	C
81	e113	e186	C
81	e113	e191	C
81	e113	e193	C
81	e113	e209	C
81	e113	e212	C
81	e113	e213	C
81	e113	e215	C
81	e113	e217	C
81	e113	e223	C
81	e113	e226	C
81	e113	e230	C
81	e113	e233	C
81	e113	e236	C
81	e113	e244	C
81	e113	e268	C
81	e113	e314	C
81	e114	e286	C
81	e114	e288	C
81	e115	e120	C
81	e115	e131	C
81	e115	e137	C
81	e115	e141	C
81	e115	e150	C
81	e115	e153	C
81	e115	e163	C
81	e115	e185	C
81	e115	e186	C
81	e115	e191	C
81	e115	e193	C
81	e115	e209	C
81	e115	e212	C
81	e115	e213	C
81	e115	e215	C
81	e115	e217	C
81	e115	e223	C
81	e115	e226	C
81	e115	e230	C
81	e115	e233	C
81	e115	e236	C
81	e115	e244	C
81	e115	e268	C
81	e115	e314	C
81	e116	e132	C
81	e116	e133	C
81	e116	e142	C
81	e116	e192	C
81	e116	e202	C
81	e116	e204	C
81	e116	e210	C
81	e116	e234	C
81	e116	e237	C
81	e116	e246	C
81	e116	e283	C
81	e116	e312	C
81	e118	e321	C
81	e119	e136	C
81	e119	e232	C
81	e119	e249	C
81	e120	e131	C
81	e120	e137	C
81	e120	e141	C
81	e120	e150	C
81	e120	e153	C
81	e120	e163	C
81	e120	e185	C
81	e120	e186	C
81	e120	e191	C
81	e120	e193	C
81	e120	e209	C
81	e120	e212	C
81	e120	e213	C
81	e120	e215	C
81	e120	e217	C
81	e120	e223	C
81	e120	e226	C
81	e120	e230	C
81	e120	e233	C
81	e120	e236	C
81	e120	e244	C
81	e120	e268	C
81	e120	e314	C
81	e121	e151	C
81	e121	e168	C
81	e121	e173	C
81	e121	e175	C
81	e121	e179	C
81	e121	e183	C
81	e122	e144	C
81	e122	e152	C
81	e122	e162	C
81	e122	e184	C
81	e122	e190	C
81	e122	e199	C
81	e122	e222	C
81	e122	e235	C
81	e122	e243	C
81	e122	e275	C
81	e123	e196	C
81	e123	e197	C
81	e123	e200	C
81	e123	e256	C
81	e124	e149	C
81	e126	e146	C
81	e126	e182	C
81	e126	e336	C
81	e127	e148	C
81	e127	e259	C
81	e128	e147	C
81	e129	e166	C
81	e129	e171	C
81	e130	e267	C
81	e131	e137	C
81	e131	e141	C
81	e131	e150	C
81	e131	e153	C
81	e131	e163	C
81	e131	e185	C
81	e131	e186	C
81	e131	e191	C
81	e131	e193	C
81	e131	e209	C
81	e131	e212	C
81	e131	e213	C
81	e131	e215	C
81	e131	e217	C
81	e131	e223	C
81	e131	e226	C
81	e131	e230	C
81	e131	e233	C
81	e131	e236	C
81	e131	e244	C
81	e131	e268	C
81	e131	e314	C
81	e132	e133	C
81	e132	e142	C
81	e132	e192	C
81	e132	e202	C
81	e132	e204	C
81	e132	e210	C
81	e132	e234	C
81	e132	e237	C
81	e132	e246	C
81	e132	e283	C
81	e132	e312	C
81	e133	e142	C
81	e133	e192	C
81	e133	e202	C
81	e133	e204	C
81	e133	e210	C
81	e133	e234	C
81	e133	e237	C
81	e133	e246	C
81	e133	e283	C
81	e133	e312	C
81	e134	e187	C
81	e134	e218	C
81	e134	e240	C
81	e134	e284	C
81	e135	e188	C
81	e135	e207	C
81	e135	e219	C
81	e135	e241	C
81	e135	e285	C
81	e137	e141	C
81	e137	e150	C
81	e137	e153	C
81	e137	e163	C
81	e137	e185	C
81	e137	e186	C
81	e137	e191	C
81	e137	e193	C
81	e137	e209	C
81	e137	e212	C
81	e137	e213	C
81	e137	e215	C
81	e137	e217	C
81	e137	e223	C
81	e137	e226	C
81	e137	e230	C
81	e137	e233	C
81	e137	e236	C
81	e137	e244	C
81	e137	e268	C
81	e137	e314	C
81	e141	e150	C
81	e141	e153	C
81	e141	e163	C
81	e141	e185	C
81	e141	e186	C
81	e141	e191	C
81	e141	e193	C
81	e141	e209	C
81	e141	e212	C
81	e141	e213	C
81	e141	e215	C
81	e141	e217	C
81	e141	e223	C
81	e141	e226	C
81	e141	e230	C
81	e141	e233	C
81	e141	e236	C
81	e141	e244	C
81	e141	e268	C
81	e141	e314	C
81	e142	e192	C
81	e142	e283	C
81	e143	e331	C
81	e144	e152	C
81	e144	e184	C
81	e144	e190	C
81	e144	e222	C
81	e144	e243	C
81	e144	e275	C
81	e146	e182	C
81	e146	e336	C
81	e150	e153	C
81	e150	e163	C
81	e150	e185	C
81	e150	e186	C
81	e150	e191	C
81	e150	e193	C
81	e150	e209	C
81	e150	e212	C
81	e150	e213	C
81	e150	e215	C
81	e150	e217	C
81	e150	e223	C
81	e150	e226	C
81	e150	e230	C
81	e150	e233	C
81	e150	e236	C
81	e150	e244	C
81	e150	e268	C
81	e150	e314	C
81	e151	e168	C
81	e151	e173	C
81	e152	e162	C
81	e152	e184	C
81	e152	e190	C
81	e152	e199	C
81	e152	e222	C
81	e152	e235	C
81	e152	e243	C
81	e152	e275	C
81	e153	e163	C
81	e153	e185	C
81	e153	e186	C
81	e153	e191	C
81	e153	e193	C
81	e153	e209	C
81	e153	e212	C
81	e153	e213	C
81	e153	e215	C
81	e153	e217	C
81	e153	e223	C
81	e153	e226	C
81	e153	e230	C
81	e153	e233	C
81	e153	e236	C
81	e153	e244	C
81	e153	e268	C
81	e153	e314	C
81	e161	e165	C
81	e161	e274	C
81	e162	e184	C
81	e162	e190	C
81	e162	e222	C
81	e162	e243	C
81	e162	e275	C
81	e163	e185	C
81	e163	e186	C
81	e163	e191	C
81	e163	e193	C
81	e163	e209	C
81	e163	e212	C
81	e163	e213	C
81	e163	e215	C
81	e163	e217	C
81	e163	e223	C
81	e163	e226	C
81	e163	e230	C
81	e163	e233	C
81	e163	e236	C
81	e163	e244	C
81	e163	e268	C
81	e163	e314	C
81	e165	e274	C
81	e166	e171	C
81	e168	e173	C
81	e168	e175	C
81	e168	e179	C
81	e168	e183	C
81	e169	e174	C
81	e173	e175	C
81	e173	e179	C
81	e173	e183	C
81	e176	e180	C
81	e177	e181	C
81	e182	e336	C
81	e184	e190	C
81	e184	e199	C
81	e184	e222	C
81	e184	e235	C
81	e184	e243	C
81	e184	e275	C
81	e185	e186	C
81	e185	e191	C
81	e185	e193	C
81	e185	e209	C
81	e185	e212	C
81	e185	e213	C
81	e185	e215	C
81	e185	e217	C
81	e185	e223	C
81	e185	e226	C
81	e185	e230	C
81	e185	e233	C
81	e185	e236	C
81	e185	e244	C
81	e185	e268	C
81	e185	e314	C
81	e186	e191	C
81	e186	e193	C
81	e186	e209	C
81	e186	e212	C
81	e186	e213	C
81	e186	e215	C
81	e186	e217	C
81	e186	e223	C
81	e186	e226	C
81	e186	e230	C
81	e186	e233	C
81	e186	e236	C
81	e186	e244	C
81	e186	e268	C
81	e186	e314	C
81	e187	e206	C
81	e187	e218	C
81	e187	e240	C
81	e187	e284	C
81	e190	e199	C
81	e190	e222	C
81	e190	e235	C
81	e190	e243	C
81	e190	e275	C
81	e191	e193	C
81	e191	e209	C
81	e191	e212	C
81	e191	e213	C
81	e191	e215	C
81	e191	e217	C
81	e191	e223	C
81	e191	e226	C
81	e191	e230	C
81	e191	e233	C
81	e191	e236	C
81	e191	e244	C
81	e191	e268	C
81	e191	e314	C
81	e192	e204	C
81	e192	e210	C
81	e192	e234	C
81	e192	e237	C
81	e192	e312	C
81	e193	e209	C
81	e193	e212	C
81	e193	e213	C
81	e193	e215	C
81	e193	e217	C
81	e193	e223	C
81	e193	e226	C
81	e193	e230	C
81	e193	e233	C
81	e193	e236	C
81	e193	e244	C
81	e193	e268	C
81	e193	e314	C
81	e194	e276	C
81	e194	e300	C
81	e196	e197	C
81	e196	e200	C
81	e196	e256	C
81	e197	e200	C
81	e197	e256	C
81	e199	e222	C
81	e199	e243	C
81	e199	e275	C
81	e200	e256	C
81	e201	e378	C
81	e203	e375	C
81	e204	e283	C
81	e206	e218	C
81	e206	e240	C
81	e206	e284	C
81	e208	e214	C
81	e209	e212	C
81	e209	e213	C
81	e209	e215	C
81	e209	e217	C
81	e209	e223	C
81	e209	e226	C
81	e209	e230	C
81	e209	e233	C
81	e209	e236	C
81	e209	e244	C
81	e209	e268	C
81	e209	e314	C
81	e210	e283	C
81	e211	e253	C
81	e211	e384	C
81	e212	e213	C
81	e212	e215	C
81	e212	e217	C
81	e212	e223	C
81	e212	e226	C
81	e212	e230	C
81	e212	e233	C
81	e212	e236	C
81	e212	e244	C
81	e212	e268	C
81	e212	e314	C
81	e213	e215	C
81	e213	e217	C
81	e213	e223	C
81	e213	e226	C
81	e213	e230	C
81	e213	e233	C
81	e213	e236	C
81	e213	e244	C
81	e213	e268	C
81	e213	e314	C
81	e214	e216	C
81	e215	e217	C
81	e215	e223	C
81	e215	e226	C
81	e215	e230	C
81	e215	e233	C
81	e215	e236	C
81	e215	e244	C
81	e215	e268	C
81	e215	e314	C
81	e217	e223	C
81	e217	e226	C
81	e217	e230	C
81	e217	e233	C
81	e217	e236	C
81	e217	e244	C
81	e217	e268	C
81	e217	e314	C
81	e218	e240	C
81	e218	e284	C
81	e220	e248	C
81	e222	e235	C
81	e222	e243	C
81	e222	e275	C
81	e223	e226	C
81	e223	e230	C
81	e223	e233	C
81	e223	e236	C
81	e223	e244	C
81	e223	e268	C
81	e223	e314	C
81	e226	e230	C
81	e226	e233	C
81	e226	e236	C
81	e226	e244	C
81	e226	e268	C
81	e226	e314	C
81	e230	e233	C
81	e230	e236	C
81	e230	e244	C
81	e230	e268	C
81	e230	e314	C
81	e231	e242	C
81	e233	e236	C
81	e233	e244	C
81	e233	e268	C
81	e233	e314	C
81	e234	e283	C
81	e235	e243	C
81	e235	e275	C
81	e236	e244	C
81	e236	e268	C
81	e236	e314	C
81	e237	e283	C
81	e240	e284	C
81	e243	e275	C
81	e244	e268	C
81	e244	e314	C
81	e250	e311	C
81	e250	e318	C
81	e253	e384	C
81	e258	e270	C
81	e258	e294	C
81	e258	e297	C
81	e261	e262	C
81	e265	e266	C
81	e265	e293	C
81	e265	e386	C
81	e265	e395	C
81	e266	e293	C
81	e266	e386	C
81	e266	e395	C
81	e268	e314	C
81	e270	e294	C
81	e270	e297	C
81	e271	e303	C
81	e272	e287	C
81	e272	e397	C
81	e276	e300	C
81	e277	e302	C
81	e278	e296	C
81	e279	e281	C
81	e280	e296	C
81	e282	e387	C
81	e283	e312	C
81	e286	e288	C
81	e292	e296	C
81	e293	e386	C
81	e293	e395	C
81	e294	e297	C
81	e309	e376	C
81	e311	e318	C
81	e323	e338	C
81	e326	e341	C
81	e326	e345	C
81	e326	e351	C
81	e326	e354	C
81	e326	e358	C
81	e326	e364	C
81	e326	e371	C
81	e326	e379	C
81	e326	e383	C
81	e326	e389	C
81	e326	e400	C
81	e327	e342	C
81	e327	e346	C
81	e327	e352	C
81	e327	e355	C
81	e327	e359	C
81	e327	e365	C
81	e327	e372	C
81	e327	e380	C
81	e327	e390	C
81	e327	e401	C
81	e328	e343	C
81	e328	e353	C
81	e328	e356	C
81	e328	e360	C
81	e328	e366	C
81	e328	e373	C
81	e328	e381	C
81	e329	e367	C
81	e330	e368	C
81	e331	e382	C
81	e341	e345	C
81	e341	e351	C
81	e341	e354	C
81	e341	e358	C
81	e341	e364	C
81	e341	e371	C
81	e341	e379	C
81	e341	e383	C
81	e341	e389	C
81	e341	e400	C
81	e342	e346	C
81	e342	e352	C
81	e342	e355	C
81	e342	e359	C
81	e342	e365	C
81	e342	e372	C
81	e342	e380	C
81	e342	e390	C
81	e342	e401	C
81	e343	e353	C
81	e343	e356	C
81	e343	e360	C
81	e343	e366	C
81	e343	e373	C
81	e343	e381	C
81	e345	e351	C
81	e345	e354	C
81	e345	e358	C
81	e345	e364	C
81	e345	e371	C
81	e345	e379	C
81	e345	e383	C
81	e345	e389	C
81	e345	e400	C
81	e346	e352	C
81	e346	e355	C
81	e346	e359	C
81	e346	e365	C
81	e346	e372	C
81	e346	e380	C
81	e346	e390	C
81	e346	e401	C
81	e348	e363	C
81	e349	e357	C
81	e351	e354	C
81	e351	e358	C
81	e351	e364	C
81	e351	e371	C
81	e351	e379	C
81	e351	e383	C
81	e351	e389	C
81	e351	e400	C
81	e352	e355	C
81	e352	e359	C
81	e352	e365	C
81	e352	e372	C
81	e352	e380	C
81	e352	e390	C
81	e352	e401	C
81	e353	e356	C
81	e353	e360	C
81	e353	e366	C
81	e353	e373	C
81	e353	e381	C
81	e354	e358	C
81	e354	e364	C
81	e354	e371	C
81	e354	e379	C
81	e354	e383	C
81	e354	e389	C
81	e354	e400	C
81	e355	e359	C
81	e355	e365	C
81	e355	e372	C
81	e355	e380	C
81	e355	e390	C
81	e355	e401	C
81	e356	e360	C
81	e356	e366	C
81	e356	e373	C
81	e356	e381	C
81	e358	e364	C
81	e358	e371	C
81	e358	e379	C
81	e358	e383	C
81	e358	e389	C
81	e358	e400	C
81	e359	e365	C
81	e359	e372	C
81	e359	e380	C
81	e359	e390	C
81	e359	e401	C
81	e360	e366	C
81	e360	e373	C
81	e360	e381	C
81	e364	e371	C
81	e364	e379	C
81	e364	e383	C
81	e364	e389	C
81	e364	e400	C
81	e365	e372	C
81	e365	e380	C
81	e365	e390	C
81	e365	e401	C
81	e366	e373	C
81	e366	e381	C
81	e371	e379	C
81	e371	e383	C
81	e371	e389	C
81	e371	e400	C
81	e372	e380	C
81	e372	e390	C
81	e372	e401	C
81	e373	e381	C
81	e379	e383	C
81	e379	e389	C
81	e379	e400	C
81	e380	e390	C
81	e380	e401	C
81	e383	e389	C
81	e383	e400	C
81	e386	e395	C
81	e388	e399	C
81	e389	e400	C
81	e390	e401	C
81	e391	e396	C
81	e3	e144	C
81	e3	e162	C
81	e3	e199	C
81	e3	e235	C
81	e7	e144	C
81	e7	e162	C
81	e7	e199	C
81	e7	e235	C
81	e62	e98	C
81	e62	e151	C
81	e62	e175	C
81	e62	e179	C
81	e62	e183	C
81	e98	e151	C
81	e98	e175	C
81	e98	e179	C
81	e98	e183	C
81	e134	e206	C
81	e142	e204	C
81	e142	e210	C
81	e142	e234	C
81	e142	e237	C
81	e142	e312	C
81	e143	e382	C
81	e144	e162	C
81	e144	e199	C
81	e144	e235	C
81	e151	e175	C
81	e151	e179	C
81	e151	e183	C
81	e162	e199	C
81	e162	e235	C
81	e192	e283	C
81	e199	e235	C
81	e204	e312	C
81	e208	e216	C
81	e210	e312	C
81	e234	e312	C
81	e237	e312	C
81	e0	e112	NC
81	e0	e192	NC
81	e0	e281	NC
81	e0	e341	NC
81	e1	e141	NC
81	e1	e275	NC
81	e1	e356	NC
81	e1	e376	NC
81	e1	e379	NC
81	e2	e155	NC
81	e3	e205	NC
81	e3	e227	NC
81	e3	e238	NC
81	e4	e162	NC
81	e4	e228	NC
81	e4	e329	NC
81	e4	e365	NC
81	e5	e149	NC
81	e5	e169	NC
81	e5	e299	NC
81	e5	e305	NC
81	e6	e23	NC
81	e6	e71	NC
81	e6	e180	NC
81	e6	e222	NC
81	e6	e361	NC
81	e7	e67	NC
81	e7	e196	NC
81	e7	e290	NC
81	e7	e327	NC
81	e8	e68	NC
81	e8	e110	NC
81	e9	e336	NC
81	e11	e179	NC
81	e11	e300	NC
81	e11	e323	NC
81	e11	e331	NC
81	e12	e48	NC
81	e12	e72	NC
81	e12	e142	NC
81	e12	e189	NC
81	e12	e313	NC
81	e13	e22	NC
81	e13	e209	NC
81	e13	e300	NC
81	e13	e348	NC
81	e13	e394	NC
81	e14	e101	NC
81	e15	e50	NC
81	e15	e224	NC
81	e16	e114	NC
81	e16	e271	NC
81	e16	e306	NC
81	e17	e3	NC
